"X" "Y" "Z"
"169" 13.088952 19.695953 27.624699
"170" 13.122774 19.577967 27.630173
"171" 13.336979 19.876869 27.937233
"172" 13.382072 19.939795 28.030458
"173" 13.246783 19.916193 27.854994
"174" 13.269334 19.467846 26.840582
"175" 13.021309 19.153217 26.237429
"176" 12.807104 19.090288 26.423857
"177" 12.880383 18.964437 26.500622
"178" 12.953668 19.003761 26.210016
"179" 12.863475 18.980165 25.922138
"180" 12.981854 19.066689 25.730213
"181" 13.201692 19.491446 26.497883
"182" 13.179141 19.224003 26.229204
"183" 13.167869 19.428514 26.456757
"184" 13.246783 19.216139 26.229204
"185" 13.42153 19.483574 26.813164
"186" 13.393345 19.263338 26.703505
"187" 13.675196 19.648758 27.38891
"188" 13.562455 19.845404 27.553406
"189" 13.25806 19.64089 27.059912
"190" 13.263697 19.782478 27.169573
"191" 13.269334 19.648758 27.018789
"192" 13.500445 19.861135 27.567122
"193" 13.483538 19.931925 27.690495
"194" 13.449716 20.073513 27.934488
"195" 13.449716 19.94766 27.909813
"196" 13.511721 20.034184 27.860466
"197" 13.658282 20.097113 27.868696
"198" 13.748472 20.010582 27.690495
"199" 13.827393 20.112837 27.953691
"200" 13.742833 20.081375 27.844017
"201" 13.658282 20.00272 27.5397
"202" 13.917581 20.372416 28.019482
"203" 14.064143 20.411741 28.057865
"204" 14.052867 20.592653 27.893373
"205" 14.086686 20.616251 27.918034
"206" 14.165605 20.466801 27.665813
"207" 14.159966 20.687042 27.961912
"208" 14.255795 20.624117 28.233332
"209" 14.492544 20.671312 28.299135
"210" 14.515099 20.781431 28.510223
"211" 13.787929 20.049915 27.416321
"212" 13.86685 20.049915 27.482121
"213" 13.810478 19.861135 27.443741
"214" 13.76538 19.570099 26.917355
"215" 12.964939 19.365589 26.544479
"216" 13.771018 19.64089 27.112003
"217" 13.624458 19.782478 27.430029
"218" 13.68083 19.876869 27.580811
"219" 13.669556 20.042049 27.608242
"220" 14.002133 19.98699 27.547928
"221" 13.618824 19.554371 27.08732
"222" 13.849935 19.617296 27.309399
"223" 14.092325 19.711683 27.380692
"224" 14.002133 19.664488 27.150385
"225" 14.210704 19.845404 27.685005
"226" 14.396726 20.13644 27.81661
"227" 14.526369 20.474669 28.293652
"228" 14.582738 20.419607 28.625385
"229" 14.515099 20.529726 28.78166
"230" 14.864584 20.592653 28.98296
"231" 14.548919 20.537594 28.999456
"232" 14.362897 20.458933 28.971958
"233" 14.498184 20.624117 29.205713
"234" 14.627831 20.569057 28.878452
"235" 14.661654 20.726374 29.175463
"236" 14.926592 20.962345 29.321217
"237" 15.050604 20.907282 29.475231
"238" 15.123883 21.04887 29.576975
"239" 15.118246 21.080336 29.535723
"240" 15.417003 21.041006 29.94549
"241" 15.281717 21.174723 29.89323
"242" 15.518473 21.442158 30.250742
"243" 15.535375 21.505091 30.443247
"244" 15.653753 21.827581 30.608255
"245" 15.698853 21.701727 30.421244
"246" 15.704487 21.803986 30.297495
"247" 15.546653 21.552282 29.937239
"248" 15.619935 21.843317 30.316755
"249" 15.569201 21.780388 30.369005
"250" 15.332453 21.701727 30.250742
"251" 15.619935 22.039961 30.819996
"252" 15.47337 21.748932 30.745762
"253" 15.428277 21.929836 30.781506
"254" 15.270447 21.827581 30.390995
"255" 15.292992 21.630939 30.437742
"256" 15.591746 21.992764 30.745762
"257" 15.546653 22.165817 31.075771
"258" 15.704487 22.315266 31.180262
"259" 15.698853 22.598429 31.39477
"260" 15.659389 22.574837 31.389271
"261" 15.924327 22.566969 31.364515
"262" 15.670663 22.338858 30.855761
"263" 15.907414 22.67709 31.477278
"264" 15.839774 22.598429 31.510286
"265" 15.817226 22.86587 31.529537
"266" 15.670663 22.913063 31.620274
"267" 15.777765 23.204098 32.057537
"268" 15.834139 23.385014 32.478313
"269" 15.783404 23.502998 32.813808
"270" 15.665028 23.34568 32.519543
"271" 15.755223 23.306356 32.670811
"272" 15.276078 23.164768 32.043781
"273" 15.586109 23.440073 32.4893
"274" 15.552291 23.447941 32.310555
"275" 15.546653 23.652452 32.868801
"276" 15.727033 23.676046 32.838551
"277" 15.890511 23.959211 33.207066
"278" 16.042704 24.022144 33.641571
"279" 16.065248 23.927752 33.495831
"280" 15.839774 23.620985 32.998062
"281" 15.732672 23.070379 32.327045
"282" 15.884871 23.322086 32.615795
"283" 15.980696 23.21983 32.802807
"284" 15.597383 23.093979 32.437046
"285" 15.794679 23.440073 33.088818
"286" 15.839774 23.699644 33.652584
"287" 16.065248 24.053602 34.07333
"288" 16.138529 24.116528 34.147591
"289" 16.341463 23.927752 34.136578
"290" 16.318911 23.581656 33.26207
"291" 16.35837 23.636713 33.897324
"292" 16.262541 23.463675 33.603065
"293" 16.375282 23.259159 33.138325
"294" 16.093433 22.928793 32.621304
"295" 15.783404 23.117569 32.945808
"296" 16.059614 23.400742 32.846794
"297" 16.04834 23.487267 33.039795
"298" 16.41474 23.778301 33.621517
"299" 16.35837 23.849098 33.773151
"300" 16.54439 24.022144 33.825539
"301" 16.60076 24.258116 34.131569
"302" 16.736048 24.305309 34.498238
"303" 16.527479 24.163723 34.316277
"304" 16.54439 24.187321 34.37693
"305" 16.826235 24.722197 35.074463
"306" 16.87133 24.934576 35.416317
"307" 16.893879 24.77726 34.859413
"308" 16.837509 24.855911 34.60025
"309" 16.820602 25.170549 35.25367
"310" 17.023527 25.319994 35.587254
"311" 16.98407 25.107622 35.372211
"312" 17.108082 24.934576 35.256416
"313" 16.905153 24.525551 34.37418
"314" 16.967161 24.470495 34.638855
"315" 16.05398 23.72324 33.52779
"316" 15.501558 23.361412 32.940559
"317" 15.856684 23.463675 33.298943
"318" 15.805956 23.487267 33.166607
"319" 15.524106 23.274893 32.91021
"320" 15.670663 23.738977 32.830261
"321" 15.10697 23.282757 31.625462
"322" 15.490286 23.172634 31.730232
"323" 15.625572 23.227694 32.309189
"324" 16.059614 23.754704 33.075638
"325" 15.383183 23.038919 32.072086
"326" 15.417003 23.101837 32.347797
"327" 15.450828 23.046782 32.270592
"328" 14.864584 22.456846 31.832233
"329" 14.210704 21.921974 30.936213
"330" 13.60755 21.646673 30.685328
"331" 14.052867 22.354597 31.432474
"332" 14.571464 22.559103 31.567566
"333" 14.515099 22.645626 31.291866
"334" 14.994238 23.031052 31.810173
"335" 15.456463 23.188366 32.047283
"336" 15.698853 23.416477 32.615223
"337" 15.586109 23.204098 32.339512
"338" 15.123883 22.6063 31.49037
